semester,gender,collegeYear,height,weight,pulse,hsGPA,collegeGPA,SATM,SATV,shoeSize,fincialAid,tvHours,states,siblings,motherAge,fatherAge,salary
1,M,1,75,165,,3.8,,,,12,Y,4,46,3,48,53,50000
1,M,1,72,145,90,3.1,,650,690,11,Y,1,8,1,42,48,40000
1,M,1,75,178,56,3.96,,720,640,13,Y,0,44,0,57,58,73000
1,M,1,68,138,,3.4,,570,570,12,Y,0,7,2,38,42,25000
1,M,1,73,187,56,2.7,,580,530,11,N,2,27,2,52,52,35000
1,M,1,72,160,,4,,,,10.5,Y,2,,2,50,49,35000
1,F,2,63,125,,3.75,,,,5.5,Y,14,7,1,52,53,
1,M,1,71,155,,3.89,,610,580,12,Y,2,8,2,47,47,30000
1,F,1,66,130,,3.7,,660,550,8.5,Y,10,17,2,43,43,80000
1,F,1,65,111,80,3.78,,660,550,7,Y,8,6,2,48,48,40000
1,F,1,71,135,,3.95,,570,550,11,Y,3,7,12,39,,30000
1,M,1,70,135,72,3.502,,710,730,10,Y,4,4,0,48,54,40000
1,F,1,69,135,66,3.88,,,,9.5,Y,6,40,0,,42,40000
1,F,1,67.5,145,,3.5,,590,600,9,N,1,9,1,52,55,25000
1,F,3,,150,,4,,,,8,Y,0.5,10,3,52,,30000
1,F,1,61,115,,4,,640,530,6,Y,1,3,1,47,48,
1,M,2,72,205,,3.7,3,650,680,11.5,Y,2,7,2,42,42,
1,F,1,68,165,75,3.2,,,,10,Y,2,19,1,59,57,50000
1,F,1,69,130,,3.8,,480,550,9,Y,0,15,1,54,54,
1,M,1,70,146,60,3.6,,,,10,N,2,6,2,42,42,35000
1,M,1,73,183,68,3.76,,600,470,14,Y,1,29,1,43,55,75000
1,F,1,64,90,76,3.9,,570,570,7,Y,2,30,1,47,49,20000
1,M,2,67,126,72,4,3.43,650,650,8.5,Y,0,3,2,55,55,
1,F,1,60,110,,3.99,,580,440,6,Y,3,2,2,51,60,40000
1,M,1,71,135,,3,,600,550,12,N,5,9,2,48,47,40000
1,F,3,72.5,170,120,3.2,,,,12,Y,2,11,2,46,54,30000
1,F,1,63,122,92,4,,650,630,8,Y,0,15,1,44,48,30000
1,F,3,67,165,,3.27,2.01,600,610,7,N,10,15,1,59,64,60000
1,F,1,67,140,86,4,,650,640,8.5,Y,10,18,1,52,54,25000
1,M,1,70,160,,3,,580,570,11,N,3,2,0,47,50,60000
1,F,1,65,118,,3.7,,650,660,8,Y,0,16,2,51,51,40000
1,F,1,59,105,66,3.5,,690,600,6,Y,5,5,1,47,51,30000
1,F,1,65,170,,3.8,,,,10,Y,5,3,3,43,43,
1,F,1,64,125,65,4,,610,470,8,Y,1,43,2,50,51,35000
1,M,3,68,160,65,3.93,,530,490,10.5,Y,5,5,2,49,47,50000
1,F,1,69,120,78,3.8,,580,620,9,Y,1,18,1,55,55,50000
1,F,1,67,146,,3.65,,610,680,9,Y,0,15,1,58,59,
1,F,1,65,150,,3.8,,580,540,9,N,0.5,15,1,47,47,
